iter	Passed	Remaining
374	2916	4860
375	2922	4850
376	2929	4840
377	2936	4831
378	2942	4821
379	2949	4812
380	2956	4803
381	2962	4793
382	2970	4785
383	2977	4776
384	2985	4768
385	2994	4762
386	3002	4755
387	3009	4747
388	3017	4739
389	3023	4729
390	3031	4721
391	3037	4711
392	3044	4701
393	3051	4693
394	3057	4683
395	3068	4680
396	3075	4671
397	3085	4667
398	3092	4658
399	3100	4650
400	3106	4640
401	3114	4632
402	3120	4622
403	3127	4613
404	3134	4604
405	3140	4594
406	3148	4586
407	3154	4576
408	3161	4568
409	3168	4558
410	3174	4549
411	3182	4541
412	3188	4531
413	3196	4524
414	3202	4514
415	3209	4505
416	3215	4495
417	3221	4485
418	3230	4478
419	3237	4470
420	3244	4462
421	3253	4455
422	3262	4450
423	3271	4443
424	3278	4435
425	3285	4426
426	3292	4418
427	3299	4409
428	3306	4400
429	3312	4391
430	3319	4382
431	3326	4373
432	3332	4364
433	3340	4356
434	3347	4347
435	3354	4339
436	3361	4330
437	3368	4322
438	3375	4313
439	3381	4304
440	3389	4296
441	3396	4288
442	3403	4279
443	3410	4270
444	3417	4262
445	3424	4253
446	3430	4243
447	3439	4237
448	3445	4228
449	3452	4220
450	3460	4212
451	3470	4207
452	3478	4200
453	3488	4195
454	3497	4189
455	3505	4181
456	3514	4176
457	3522	4168
458	3531	4162
459	3539	4154
460	3547	4148
461	3555	4139
462	3563	4132
463	3569	4123
464	3575	4113
465	3583	4106
466	3590	4098
467	3598	4090
468	3605	4082
469	3612	4074
470	3619	4064
471	3626	4056
472	3632	4047
473	3638	4037
474	3648	4032
475	3654	4023
476	3662	4015
477	3668	4006
478	3677	3999
479	3715	4025
480	3722	4016
481	3729	4007
482	3735	3998
483	3743	3990
484	3749	3981
485	3756	3973
486	3763	3964
487	3770	3955
488	3778	3948
489	3784	3938
490	3792	3931
491	3799	3922
492	3807	3915
493	3813	3906
494	3821	3898
495	3827	3889
496	3833	3880
497	3841	3872
498	3849	3864
499	3858	3858
500	3865	3849
501	3873	3842
502	3882	3835
503	3893	3831
504	3903	3826
505	3911	3818
506	3919	3811
507	3926	3802
508	3932	3793
509	3939	3784
510	3945	3775
511	3953	3768
512	3961	3760
513	3971	3755
514	3978	3747
515	3988	3740
516	3995	3732
517	4003	3725
518	4009	3716
519	4017	3708
520	4024	3699
521	4031	3691
522	4037	3682
523	4044	3674
524	4052	3666
525	4059	3657
526	4068	3651
527	4075	3643
528	4084	3637
529	4093	3629
530	4100	3621
531	4107	3612
532	4115	3605
533	4121	3596
534	4128	3588
535	4135	3579
536	4141	3570
537	4148	3562
538	4155	3553
539	4162	3545
540	4168	3537
541	4176	3529
542	4182	3520
543	4190	3512
544	4197	3504
545	4206	3497
546	4214	3490
547	4220	3481
548	4228	3473
549	4234	3464
550	4241	3456
551	4248	3447
552	4256	3440
553	4263	3432
554	4271	3424
555	4279	3417
556	4287	3409
557	4296	3403
558	4302	3394
559	4310	3387
560	4318	3378
561	4325	3371
562	4331	3362
563	4339	3354
564	4346	3346
565	4352	3337
566	4359	3329
567	4365	3320
568	4372	3312
569	4379	3303
570	4386	3295
571	4392	3287
572	4399	3278
573	4408	3271
574	4414	3263
575	4422	3255
576	4428	3246
577	4436	3238
578	4442	3230
579	4449	3221
580	4457	3214
581	4463	3205
582	4470	3197
583	4476	3188
584	4485	3181
585	4492	3174
586	4502	3167
587	4509	3159
588	4518	3153
589	4525	3144
590	4534	3138
591	4541	3129
592	4549	3122
593	4555	3113
594	4562	3105
595	4569	3097
596	4575	3088
597	4582	3080
598	4589	3072
599	4597	3064
600	4604	3056
601	4611	3049
602	4618	3040
603	4624	3032
604	4632	3024
605	4638	3015
606	4645	3007
607	4652	2999
608	4659	2991
609	4666	2983
610	4673	2975
611	4682	2968
612	4691	2961
613	4699	2954
614	4706	2946
615	4713	2938
616	4720	2930
617	4728	2922
618	4734	2914
619	4743	2907
620	4749	2898
621	4756	2890
622	4763	2882
623	4769	2874
624	4777	2866
625	4783	2858
626	4791	2850
627	4797	2841
628	4804	2833
629	4812	2826
630	4818	2817
631	4826	2810
632	4832	2801
633	4840	2794
634	4847	2786
635	4855	2778
636	4862	2770
637	4869	2763
638	4876	2754
639	4882	2746
640	4915	2752
641	4930	2749
642	4940	2742
643	4947	2735
644	4955	2727
645	4962	2719
646	4969	2711
647	4975	2702
648	4982	2694
649	4989	2686
650	4995	2678
651	5003	2670
652	5010	2662
653	5017	2654
654	5024	2646
655	5032	2638
656	5038	2630
657	5044	2621
658	5051	2614
659	5060	2606
660	5067	2599
661	5074	2590
662	5081	2583
663	5089	2575
664	5097	2568
665	5105	2560
666	5114	2553
667	5122	2545
668	5129	2538
669	5136	2529
670	5142	2521
671	5149	2513
672	5156	2505
673	5163	2497
674	5170	2489
675	5178	2481
676	5184	2473
677	5191	2465
678	5198	2457
679	5204	2449
680	5212	2441
681	5218	2433
682	5226	2425
683	5234	2418
684	5241	2410
685	5248	2402
686	5254	2393
687	5263	2386
688	5269	2378
689	5280	2372
690	5288	2365
691	5296	2357
692	5303	2349
693	5310	2341
694	5317	2333
695	5325	2325
696	5332	2317
697	5339	2310
698	5347	2302
699	5356	2295
700	5362	2287
701	5370	2279
702	5376	2271
703	5382	2263
704	5390	2255
705	5396	2247
706	5404	2239
707	5410	2231
708	5416	2223
709	5423	2215
710	5429	2207
711	5437	2199
712	5444	2191
713	5451	2183
714	5458	2175
715	5465	2167
716	5472	2159
717	5478	2151
718	5489	2145
719	5498	2138
720	5506	2130
721	5514	2123
722	5521	2115
723	5528	2107
724	5535	2099
725	5542	2091
726	5552	2084
727	5558	2076
728	5566	2069
729	5572	2061
730	5579	2053
731	5586	2045
732	5592	2037
733	5599	2029
734	5606	2021
735	5613	2013
736	5619	2005
737	5626	1997
738	5633	1989
739	5640	1981
740	5647	1973
741	5653	1965
742	5660	1958
743	5667	1950
744	5675	1942
745	5682	1934
746	5692	1927
747	5699	1920
748	5708	1912
749	5715	1905
750	5722	1897
751	5730	1889
752	5736	1881
753	5744	1874
754	5750	1866
755	5758	1858
756	5764	1850
757	5771	1842
758	5778	1834
759	5784	1826
760	5792	1819
761	5799	1811
762	5806	1803
763	5813	1795
764	5820	1787
765	5826	1779
766	5832	1771
767	5840	1764
768	5847	1756
769	5855	1749
770	5862	1741
771	5870	1733
772	5876	1725
773	5885	1718
774	5894	1711
775	5905	1704
776	5931	1702
777	5942	1695
778	5950	1688
779	5957	1680
780	5963	1672
781	5971	1664
782	5978	1656
783	5985	1649
784	5991	1641
785	5999	1633
786	6005	1625
787	6011	1617
788	6018	1609
789	6025	1601
790	6032	1594
791	6039	1586
792	6045	1578
793	6053	1570
794	6059	1562
795	6067	1554
796	6075	1547
797	6082	1539
798	6089	1531
799	6096	1524
800	6106	1517
801	6116	1510
802	6126	1502
803	6134	1495
804	6141	1487
805	6148	1479
806	6155	1472
807	6163	1464
808	6169	1456
809	6177	1449
810	6183	1441
811	6190	1433
812	6197	1425
813	6203	1417
814	6210	1409
815	6216	1401
816	6224	1394
817	6230	1386
818	6236	1378
819	6244	1370
820	6251	1363
821	6258	1355
822	6266	1347
823	6274	1340
824	6281	1332
825	6289	1324
826	6295	1317
827	6302	1309
828	6310	1301
829	6318	1294
830	6327	1286
831	6334	1279
832	6342	1271
833	6348	1263
834	6356	1256
835	6362	1248
836	6370	1240
837	6376	1232
838	6382	1224
839	6389	1217
840	6396	1209
841	6403	1201
842	6409	1193
843	6416	1185
844	6423	1178
845	6430	1170
846	6437	1162
847	6444	1155
848	6451	1147
849	6458	1139
850	6466	1132
851	6473	1124
852	6482	1117
853	6490	1109
854	6499	1102
855	6507	1094
856	6515	1087
857	6523	1079
858	6530	1072
859	6538	1064
860	6544	1056
861	6552	1048
862	6558	1041
863	6566	1033
864	6572	1025
865	6579	1018
866	6586	1010
867	6592	1002
868	6599	994
869	6606	987
870	6614	979
871	6620	971
872	6628	964
873	6634	956
874	6642	948
875	6649	941
876	6655	933
877	6663	925
878	6669	918
879	6677	910
880	6684	902
881	6692	895
882	6698	887
883	6708	880
884	6715	872
885	6725	865
886	6731	857
887	6738	849
888	6746	842
889	6752	834
890	6759	826
891	6766	819
892	6774	811
893	6780	803
894	6787	796
895	6793	788
896	6799	780
897	6807	773
898	6813	765
899	6821	757
900	6827	750
901	6834	742
902	6841	734
903	6847	727
904	6854	719
905	6865	712
906	6873	704
907	6881	697
908	6889	689
909	6895	681
910	6903	674
911	6909	666
912	6919	659
913	6927	651
914	6957	646
915	6965	638
916	6971	631
917	6978	623
918	6986	615
919	6992	608
920	7000	600
921	7006	592
922	7013	585
923	7020	577
924	7026	569
925	7033	562
926	7039	554
927	7047	546
928	7054	539
929	7062	531
930	7068	523
931	7074	516
932	7082	508
933	7088	500
934	7096	493
935	7105	485
936	7113	478
937	7122	470
938	7130	463
939	7136	455
940	7144	447
941	7151	440
942	7158	432
943	7165	425
944	7171	417
945	7179	409
946	7185	402
947	7193	394
948	7199	386
949	7206	379
950	7213	371
951	7219	363
952	7226	356
953	7234	348
954	7241	341
955	7247	333
956	7254	325
957	7262	318
958	7268	310
959	7275	303
960	7282	295
961	7291	288
962	7297	280
963	7308	272
964	7316	265
965	7325	257
966	7332	250
967	7339	242
968	7346	235
969	7353	227
970	7360	219
971	7366	212
972	7374	204
973	7380	197
974	7387	189
975	7394	181
976	7401	174
977	7407	166
978	7413	159
979	7421	151
980	7427	143
981	7434	136
982	7440	128
983	7446	121
984	7453	113
985	7459	105
986	7466	98
987	7474	90
988	7481	83
989	7488	75
990	7497	68
991	7504	60
992	7514	52
993	7522	45
994	7532	37
995	7539	30
996	7547	22
997	7554	15
998	7562	7
999	7568	0
